fish , 1.791759469228055
kernel , 0.8214444993973208
based , 0.6183342898649506
semantic , 0.6743201114455618
classification , 0.5169680128379096
terms , 0.46628487432438903
class , 0.551716454819096
et , 0.44601161891898083
al , 0.44601161891898083
fingers , 0.9630707147100795
data , 0.3379092505229733
approach , 0.3379092505229733
words , 0.47815426084321655
used , 0.29458755173797674
documents , 0.380071335542044
text , 0.27368894797301097
svm , 0.33102987289145763
use , 0.24327906486489861
supervised , 0.2942487759035179
order , 0.2079441541679836
results , 0.19927981441098425
meaning , 0.26972804457822475
classes , 0.26972804457822475
information , 0.19061547465398496
two , 0.19061547465398496
values , 0.21286918175678632
document , 0.25746767891557815
kernels , 0.25746767891557815
one , 0.18195113489698564
2 , 0.18195113489698564
performance , 0.2027325540540822
term , 0.24520731325293157
space , 0.24520731325293157
n , 0.44793986730701374
using , 0.14395725334794995
vector , 0.23294694759028498
different , 0.164622455382987
storage , 0.425542873941663
since , 0.18245929864867397
quality , 0.28187166791145785
sardine , 0.4031458805763124
linear , 0.20842621626499183
1 , 0.14729377586898837
higher , 0.17232267094596987
4 , 0.14729377586898837
whiting , 0.3807488872109617
frozen , 0.3807488872109617
unlabeled , 0.3807488872109617
representation , 0.19616585060234526
smoothing , 0.19616585060234526
